1 []
2 []
3 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=793,', 'Bottom=475'], ['truck: 91%', 'Left=141,', 'Top=219,', 'Right=474,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=291,', 'Right=126,', 'Bottom=491']]
4 [['car: 100%', 'Left=550,', 'Top=310,', 'Right=793,', 'Bottom=474'], ['truck: 91%', 'Left=141,', 'Top=218,', 'Right=474,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=291,', 'Right=126,', 'Bottom=491']]
5 [['car: 100%', 'Left=550,', 'Top=310,', 'Right=793,', 'Bottom=474'], ['truck: 91%', 'Left=141,', 'Top=219,', 'Right=475,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=291,', 'Right=126,', 'Bottom=491']]
6 [['car: 100%', 'Left=550,', 'Top=310,', 'Right=792,', 'Bottom=474'], ['truck: 91%', 'Left=141,', 'Top=219,', 'Right=475,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=291,', 'Right=127,', 'Bottom=491']]
7 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=792,', 'Bottom=475'], ['truck: 91%', 'Left=141,', 'Top=219,', 'Right=475,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
8 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=792,', 'Bottom=475'], ['truck: 92%', 'Left=141,', 'Top=219,', 'Right=475,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
9 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=475'], ['truck: 93%', 'Left=141,', 'Top=220,', 'Right=474,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
10 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=475'], ['truck: 93%', 'Left=141,', 'Top=219,', 'Right=475,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
11 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=475'], ['truck: 93%', 'Left=142,', 'Top=219,', 'Right=475,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
12 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=474'], ['truck: 93%', 'Left=142,', 'Top=220,', 'Right=474,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
13 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=474'], ['truck: 93%', 'Left=142,', 'Top=220,', 'Right=474,', 'Bottom=434'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
14 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=474'], ['truck: 94%', 'Left=142,', 'Top=220,', 'Right=475,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
15 [['car: 100%', 'Left=550,', 'Top=309,', 'Right=793,', 'Bottom=475'], ['truck: 94%', 'Left=141,', 'Top=220,', 'Right=477,', 'Bottom=435'], ['car: 77%', 'Left=2,', 'Top=288,', 'Right=127,', 'Bottom=491']]
16 [['car: 100%', 'Left=550,', 'Top=310,', 'Right=793,', 'Bottom=476'], ['truck: 94%', 'Left=139,', 'Top=220,', 'Right=480,', 'Bottom=435'], ['car: 74%', 'Left=2,', 'Top=289,', 'Right=127,', 'Bottom=491']]
17 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=806,', 'Bottom=498'], ['truck: 95%', 'Left=138,', 'Top=222,', 'Right=481,', 'Bottom=435'], ['car: 72%', 'Left=2,', 'Top=289,', 'Right=127,', 'Bottom=491']]
18 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=806,', 'Bottom=499'], ['truck: 95%', 'Left=137,', 'Top=224,', 'Right=481,', 'Bottom=434'], ['car: 74%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
19 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=138,', 'Top=224,', 'Right=480,', 'Bottom=433'], ['car: 77%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
20 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=140,', 'Top=224,', 'Right=478,', 'Bottom=433'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
21 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=142,', 'Top=224,', 'Right=478,', 'Bottom=433'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
22 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=144,', 'Top=224,', 'Right=476,', 'Bottom=433'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
23 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=144,', 'Top=225,', 'Right=476,', 'Bottom=433'], ['car: 84%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
24 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=805,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=475,', 'Bottom=433'], ['car: 85%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
25 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=475,', 'Bottom=433'], ['car: 85%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
26 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=475,', 'Bottom=433'], ['car: 86%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
