1 []
2 []
3 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 70%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 60%', 'Left=605,', 'Top=353,', 'Right=654,', 'Bottom=380'], ['car: 70%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
4 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 76%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 71%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 58%', 'Left=606,', 'Top=353,', 'Right=653,', 'Bottom=380'], ['car: 69%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378']]
5 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 58%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 68%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378']]
6 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 59%', 'Left=605,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 67%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
7 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 61%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 69%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
8 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 62%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
9 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 76%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 61%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
10 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=44,', 'Top=352,', 'Right=82,', 'Bottom=375'], ['car: 60%', 'Left=604,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378']]
11 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 61%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378']]
12 [['car: 90%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 61%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
13 [['car: 90%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 61%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
14 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=380']]
15 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 75%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 58%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=380']]
16 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 75%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 58%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
17 [['car: 90%', 'Left=405,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=319,', 'Top=349,', 'Right=396,', 'Bottom=379'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 75%', 'Left=43,', 'Top=352,', 'Right=82,', 'Bottom=375'], ['car: 57%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380']]
18 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 76%', 'Left=43,', 'Top=352,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 57%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
19 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 76%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 73%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
