1 []
2 []
3 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=569,', 'Bottom=507']]
4 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=569,', 'Bottom=507']]
5 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=569,', 'Bottom=508']]
6 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=570,', 'Bottom=508']]
7 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=570,', 'Bottom=508']]
8 [['car: 100%', 'Left=82,', 'Top=232,', 'Right=570,', 'Bottom=507']]
9 [['car: 100%', 'Left=82,', 'Top=232,', 'Right=570,', 'Bottom=507']]
10 [['car: 100%', 'Left=82,', 'Top=233,', 'Right=569,', 'Bottom=507']]
11 [['car: 100%', 'Left=82,', 'Top=233,', 'Right=568,', 'Bottom=508']]
12 [['car: 100%', 'Left=81,', 'Top=233,', 'Right=567,', 'Bottom=508']]
13 [['car: 100%', 'Left=84,', 'Top=233,', 'Right=566,', 'Bottom=501']]
14 [['car: 100%', 'Left=83,', 'Top=228,', 'Right=566,', 'Bottom=506']]
15 [['car: 100%', 'Left=83,', 'Top=224,', 'Right=565,', 'Bottom=512']]
16 [['car: 99%', 'Left=78,', 'Top=225,', 'Right=567,', 'Bottom=521']]
17 [['car: 98%', 'Left=78,', 'Top=231,', 'Right=569,', 'Bottom=517']]
18 [['car: 98%', 'Left=77,', 'Top=235,', 'Right=569,', 'Bottom=511']]
19 [['car: 98%', 'Left=78,', 'Top=234,', 'Right=569,', 'Bottom=509']]
20 [['car: 99%', 'Left=83,', 'Top=231,', 'Right=566,', 'Bottom=512']]
21 [['car: 100%', 'Left=88,', 'Top=231,', 'Right=564,', 'Bottom=516']]
22 [['car: 100%', 'Left=91,', 'Top=231,', 'Right=564,', 'Bottom=519']]
23 [['car: 100%', 'Left=89,', 'Top=231,', 'Right=566,', 'Bottom=516']]
24 [['car: 100%', 'Left=87,', 'Top=232,', 'Right=567,', 'Bottom=514']]
25 [['car: 100%', 'Left=88,', 'Top=232,', 'Right=567,', 'Bottom=513']]
26 [['car: 100%', 'Left=89,', 'Top=232,', 'Right=566,', 'Bottom=514']]
27 [['car: 100%', 'Left=91,', 'Top=233,', 'Right=565,', 'Bottom=516']]
28 [['car: 100%', 'Left=90,', 'Top=233,', 'Right=563,', 'Bottom=514']]
29 [['car: 100%', 'Left=89,', 'Top=233,', 'Right=562,', 'Bottom=511']]
30 [['car: 100%', 'Left=88,', 'Top=233,', 'Right=562,', 'Bottom=506']]
31 [['car: 100%', 'Left=88,', 'Top=232,', 'Right=564,', 'Bottom=505']]
32 [['car: 99%', 'Left=84,', 'Top=229,', 'Right=566,', 'Bottom=508']]
