1 []
2 []
3 [['car: 99%', 'Left=467,', 'Top=262,', 'Right=926,', 'Bottom=590'], ['car: 100%', 'Left=155,', 'Top=350,', 'Right=476,', 'Bottom=556']]
4 [['car: 100%', 'Left=155,', 'Top=349,', 'Right=476,', 'Bottom=556'], ['car: 99%', 'Left=467,', 'Top=262,', 'Right=927,', 'Bottom=590']]
5 [['car: 100%', 'Left=155,', 'Top=349,', 'Right=476,', 'Bottom=555'], ['car: 100%', 'Left=467,', 'Top=262,', 'Right=927,', 'Bottom=590']]
6 [['car: 100%', 'Left=155,', 'Top=349,', 'Right=477,', 'Bottom=555'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=927,', 'Bottom=590']]
7 [['car: 100%', 'Left=155,', 'Top=350,', 'Right=478,', 'Bottom=555'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=927,', 'Bottom=590']]
8 [['car: 100%', 'Left=155,', 'Top=349,', 'Right=478,', 'Bottom=555'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=927,', 'Bottom=589']]
9 [['car: 100%', 'Left=156,', 'Top=349,', 'Right=479,', 'Bottom=555'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=928,', 'Bottom=589']]
10 [['car: 100%', 'Left=156,', 'Top=349,', 'Right=480,', 'Bottom=556'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=928,', 'Bottom=589']]
11 [['car: 100%', 'Left=157,', 'Top=350,', 'Right=482,', 'Bottom=557'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=927,', 'Bottom=588']]
12 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=927,', 'Bottom=588'], ['car: 99%', 'Left=156,', 'Top=350,', 'Right=484,', 'Bottom=558']]
13 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=927,', 'Bottom=587'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=486,', 'Bottom=558']]
14 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=927,', 'Bottom=587'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=486,', 'Bottom=558']]
15 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=927,', 'Bottom=587'], ['car: 99%', 'Left=155,', 'Top=351,', 'Right=486,', 'Bottom=558']]
16 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=927,', 'Bottom=588'], ['car: 99%', 'Left=154,', 'Top=350,', 'Right=483,', 'Bottom=557']]
17 [['car: 100%', 'Left=467,', 'Top=261,', 'Right=927,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=349,', 'Right=481,', 'Bottom=556']]
18 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=927,', 'Bottom=589'], ['car: 100%', 'Left=152,', 'Top=349,', 'Right=478,', 'Bottom=555']]
19 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=927,', 'Bottom=589'], ['car: 100%', 'Left=151,', 'Top=349,', 'Right=476,', 'Bottom=553']]
20 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=927,', 'Bottom=589'], ['car: 100%', 'Left=151,', 'Top=349,', 'Right=475,', 'Bottom=553']]
21 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=927,', 'Bottom=589'], ['car: 100%', 'Left=152,', 'Top=350,', 'Right=475,', 'Bottom=553']]
22 [['car: 100%', 'Left=467,', 'Top=261,', 'Right=927,', 'Bottom=589'], ['car: 100%', 'Left=152,', 'Top=350,', 'Right=475,', 'Bottom=554']]
23 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=152,', 'Top=350,', 'Right=474,', 'Bottom=555']]
24 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=152,', 'Top=350,', 'Right=474,', 'Bottom=556']]
25 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=929,', 'Bottom=590'], ['car: 100%', 'Left=151,', 'Top=350,', 'Right=475,', 'Bottom=555']]
26 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=151,', 'Top=350,', 'Right=477,', 'Bottom=555']]
27 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=151,', 'Top=350,', 'Right=478,', 'Bottom=555']]
28 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=152,', 'Top=349,', 'Right=477,', 'Bottom=554']]
29 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=349,', 'Right=477,', 'Bottom=553']]
30 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 99%', 'Left=154,', 'Top=349,', 'Right=476,', 'Bottom=553']]
31 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 99%', 'Left=156,', 'Top=349,', 'Right=476,', 'Bottom=553']]
32 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 99%', 'Left=156,', 'Top=348,', 'Right=474,', 'Bottom=552']]
33 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 99%', 'Left=156,', 'Top=349,', 'Right=473,', 'Bottom=552']]
34 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=155,', 'Top=349,', 'Right=473,', 'Bottom=552']]
35 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=155,', 'Top=350,', 'Right=474,', 'Bottom=553']]
36 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=155,', 'Top=351,', 'Right=473,', 'Bottom=554']]
