1 []
2 []
3 [['car: 99%', 'Left=455,', 'Top=267,', 'Right=896,', 'Bottom=586'], ['car: 99%', 'Left=159,', 'Top=351,', 'Right=473,', 'Bottom=560']]
4 [['car: 99%', 'Left=455,', 'Top=267,', 'Right=896,', 'Bottom=586'], ['car: 99%', 'Left=160,', 'Top=352,', 'Right=474,', 'Bottom=560']]
5 [['car: 99%', 'Left=455,', 'Top=267,', 'Right=896,', 'Bottom=585'], ['car: 99%', 'Left=161,', 'Top=352,', 'Right=473,', 'Bottom=559']]
6 [['car: 99%', 'Left=455,', 'Top=267,', 'Right=896,', 'Bottom=585'], ['car: 99%', 'Left=161,', 'Top=352,', 'Right=474,', 'Bottom=558']]
7 [['car: 99%', 'Left=455,', 'Top=267,', 'Right=897,', 'Bottom=585'], ['car: 99%', 'Left=159,', 'Top=352,', 'Right=475,', 'Bottom=557']]
8 [['car: 99%', 'Left=455,', 'Top=267,', 'Right=897,', 'Bottom=585'], ['car: 99%', 'Left=157,', 'Top=353,', 'Right=477,', 'Bottom=557']]
9 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=897,', 'Bottom=585'], ['car: 99%', 'Left=156,', 'Top=354,', 'Right=477,', 'Bottom=557']]
10 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=896,', 'Bottom=586'], ['car: 99%', 'Left=156,', 'Top=354,', 'Right=476,', 'Bottom=557']]
11 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=586'], ['car: 99%', 'Left=155,', 'Top=354,', 'Right=475,', 'Bottom=558']]
12 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=895,', 'Bottom=587'], ['car: 100%', 'Left=155,', 'Top=355,', 'Right=474,', 'Bottom=559']]
13 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=895,', 'Bottom=587'], ['car: 100%', 'Left=155,', 'Top=355,', 'Right=474,', 'Bottom=559']]
14 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=355,', 'Right=474,', 'Bottom=559']]
15 [['car: 99%', 'Left=458,', 'Top=266,', 'Right=894,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=355,', 'Right=475,', 'Bottom=559']]
16 [['car: 99%', 'Left=458,', 'Top=266,', 'Right=894,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=354,', 'Right=475,', 'Bottom=557']]
17 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=354,', 'Right=475,', 'Bottom=556']]
18 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=354,', 'Right=476,', 'Bottom=556']]
19 [['car: 99%', 'Left=458,', 'Top=268,', 'Right=895,', 'Bottom=587'], ['car: 100%', 'Left=155,', 'Top=355,', 'Right=477,', 'Bottom=555']]
20 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=896,', 'Bottom=587'], ['car: 100%', 'Left=153,', 'Top=355,', 'Right=478,', 'Bottom=554']]
21 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=896,', 'Bottom=587'], ['car: 100%', 'Left=153,', 'Top=355,', 'Right=478,', 'Bottom=554']]
22 [['car: 99%', 'Left=456,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 100%', 'Left=153,', 'Top=355,', 'Right=478,', 'Bottom=554']]
23 [['car: 100%', 'Left=469,', 'Top=262,', 'Right=923,', 'Bottom=586'], ['car: 100%', 'Left=154,', 'Top=354,', 'Right=479,', 'Bottom=555']]
24 [['car: 100%', 'Left=470,', 'Top=261,', 'Right=923,', 'Bottom=585'], ['car: 100%', 'Left=153,', 'Top=354,', 'Right=480,', 'Bottom=555']]
25 [['car: 100%', 'Left=470,', 'Top=262,', 'Right=922,', 'Bottom=585'], ['car: 100%', 'Left=153,', 'Top=354,', 'Right=481,', 'Bottom=554']]
26 [['car: 100%', 'Left=152,', 'Top=354,', 'Right=482,', 'Bottom=554'], ['car: 100%', 'Left=470,', 'Top=262,', 'Right=922,', 'Bottom=585']]
27 [['car: 100%', 'Left=152,', 'Top=354,', 'Right=482,', 'Bottom=554'], ['car: 99%', 'Left=455,', 'Top=265,', 'Right=899,', 'Bottom=586']]
28 [['car: 100%', 'Left=151,', 'Top=354,', 'Right=482,', 'Bottom=554'], ['car: 99%', 'Left=454,', 'Top=264,', 'Right=899,', 'Bottom=587']]
29 [['car: 100%', 'Left=152,', 'Top=354,', 'Right=478,', 'Bottom=555'], ['car: 99%', 'Left=454,', 'Top=264,', 'Right=899,', 'Bottom=588']]
30 [['car: 100%', 'Left=153,', 'Top=353,', 'Right=475,', 'Bottom=555'], ['car: 99%', 'Left=454,', 'Top=263,', 'Right=899,', 'Bottom=588']]
31 [['car: 100%', 'Left=154,', 'Top=351,', 'Right=473,', 'Bottom=554'], ['car: 99%', 'Left=454,', 'Top=263,', 'Right=899,', 'Bottom=588']]
32 [['car: 100%', 'Left=153,', 'Top=350,', 'Right=473,', 'Bottom=552'], ['car: 99%', 'Left=453,', 'Top=263,', 'Right=899,', 'Bottom=588']]
33 [['car: 100%', 'Left=153,', 'Top=351,', 'Right=474,', 'Bottom=552'], ['car: 99%', 'Left=454,', 'Top=264,', 'Right=899,', 'Bottom=588']]
34 [['car: 100%', 'Left=152,', 'Top=351,', 'Right=475,', 'Bottom=551'], ['car: 99%', 'Left=453,', 'Top=264,', 'Right=900,', 'Bottom=588']]
35 [['car: 100%', 'Left=151,', 'Top=352,', 'Right=476,', 'Bottom=552'], ['car: 99%', 'Left=454,', 'Top=264,', 'Right=899,', 'Bottom=588']]
36 [['car: 100%', 'Left=151,', 'Top=352,', 'Right=478,', 'Bottom=552'], ['car: 99%', 'Left=454,', 'Top=263,', 'Right=899,', 'Bottom=588']]
37 [['car: 100%', 'Left=151,', 'Top=353,', 'Right=480,', 'Bottom=551'], ['car: 99%', 'Left=455,', 'Top=263,', 'Right=898,', 'Bottom=588']]
38 [['car: 100%', 'Left=152,', 'Top=353,', 'Right=482,', 'Bottom=552'], ['car: 99%', 'Left=455,', 'Top=264,', 'Right=898,', 'Bottom=587']]
39 [['car: 100%', 'Left=153,', 'Top=353,', 'Right=483,', 'Bottom=552'], ['car: 99%', 'Left=455,', 'Top=264,', 'Right=899,', 'Bottom=587']]
40 [['car: 100%', 'Left=154,', 'Top=353,', 'Right=484,', 'Bottom=553'], ['car: 100%', 'Left=470,', 'Top=261,', 'Right=923,', 'Bottom=587']]
41 [['car: 100%', 'Left=470,', 'Top=261,', 'Right=923,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=354,', 'Right=484,', 'Bottom=553']]
42 [['car: 100%', 'Left=470,', 'Top=261,', 'Right=923,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=353,', 'Right=480,', 'Bottom=554']]
43 [['car: 100%', 'Left=470,', 'Top=262,', 'Right=923,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=352,', 'Right=476,', 'Bottom=554']]
44 [['car: 100%', 'Left=156,', 'Top=351,', 'Right=473,', 'Bottom=555'], ['car: 100%', 'Left=470,', 'Top=262,', 'Right=922,', 'Bottom=589']]
45 [['car: 100%', 'Left=156,', 'Top=351,', 'Right=473,', 'Bottom=556'], ['car: 99%', 'Left=456,', 'Top=264,', 'Right=898,', 'Bottom=590']]
