1 []
2 []
3 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=570,', 'Bottom=505']]
4 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=571,', 'Bottom=506']]
5 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=571,', 'Bottom=505']]
6 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=571,', 'Bottom=506']]
7 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=570,', 'Bottom=505']]
8 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=570,', 'Bottom=506']]
9 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=570,', 'Bottom=505']]
10 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=570,', 'Bottom=506']]
11 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=569,', 'Bottom=506']]
12 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=569,', 'Bottom=507']]
13 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=569,', 'Bottom=507']]
14 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=569,', 'Bottom=507']]
15 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=569,', 'Bottom=506']]
16 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=570,', 'Bottom=506']]
17 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=569,', 'Bottom=506']]
18 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=569,', 'Bottom=507']]
19 [['car: 100%', 'Left=79,', 'Top=230,', 'Right=569,', 'Bottom=507']]
20 [['car: 100%', 'Left=79,', 'Top=231,', 'Right=569,', 'Bottom=507']]
21 [['car: 100%', 'Left=79,', 'Top=231,', 'Right=569,', 'Bottom=507']]
22 [['car: 100%', 'Left=79,', 'Top=231,', 'Right=568,', 'Bottom=506']]
23 [['car: 100%', 'Left=79,', 'Top=231,', 'Right=568,', 'Bottom=505']]
24 [['car: 100%', 'Left=79,', 'Top=232,', 'Right=568,', 'Bottom=505']]
25 [['car: 100%', 'Left=79,', 'Top=233,', 'Right=569,', 'Bottom=504']]
26 [['car: 100%', 'Left=79,', 'Top=233,', 'Right=569,', 'Bottom=504']]
27 [['car: 100%', 'Left=80,', 'Top=234,', 'Right=569,', 'Bottom=504']]
28 [['car: 100%', 'Left=80,', 'Top=234,', 'Right=569,', 'Bottom=503']]
29 [['car: 100%', 'Left=80,', 'Top=234,', 'Right=569,', 'Bottom=503']]
30 [['car: 100%', 'Left=80,', 'Top=233,', 'Right=569,', 'Bottom=504']]
31 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=569,', 'Bottom=506']]
32 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=568,', 'Bottom=507']]
33 [['car: 100%', 'Left=82,', 'Top=230,', 'Right=568,', 'Bottom=507']]
34 [['car: 100%', 'Left=82,', 'Top=230,', 'Right=568,', 'Bottom=507']]
35 [['car: 100%', 'Left=82,', 'Top=230,', 'Right=568,', 'Bottom=507']]
36 [['car: 100%', 'Left=81,', 'Top=230,', 'Right=568,', 'Bottom=506']]
37 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=568,', 'Bottom=506']]
38 [['car: 100%', 'Left=81,', 'Top=230,', 'Right=568,', 'Bottom=507']]
39 [['car: 100%', 'Left=81,', 'Top=230,', 'Right=568,', 'Bottom=507']]
40 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=567,', 'Bottom=507']]
41 [['car: 100%', 'Left=82,', 'Top=231,', 'Right=567,', 'Bottom=507']]
42 [['car: 100%', 'Left=82,', 'Top=231,', 'Right=567,', 'Bottom=507']]
43 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=567,', 'Bottom=508']]
44 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=567,', 'Bottom=508']]
45 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=566,', 'Bottom=508']]
46 [['car: 100%', 'Left=82,', 'Top=231,', 'Right=566,', 'Bottom=508']]
47 [['car: 100%', 'Left=82,', 'Top=231,', 'Right=566,', 'Bottom=508']]
48 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=566,', 'Bottom=508']]
49 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=566,', 'Bottom=508']]
50 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=565,', 'Bottom=507']]
51 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=565,', 'Bottom=507']]
52 [['car: 100%', 'Left=83,', 'Top=230,', 'Right=565,', 'Bottom=507']]
53 [['car: 100%', 'Left=83,', 'Top=229,', 'Right=565,', 'Bottom=507']]
54 [['car: 100%', 'Left=83,', 'Top=229,', 'Right=565,', 'Bottom=507']]
55 [['car: 100%', 'Left=83,', 'Top=230,', 'Right=566,', 'Bottom=506']]
56 [['car: 100%', 'Left=82,', 'Top=231,', 'Right=566,', 'Bottom=505']]
57 [['car: 100%', 'Left=82,', 'Top=231,', 'Right=566,', 'Bottom=504']]
58 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=566,', 'Bottom=505']]
59 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=567,', 'Bottom=505']]
60 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=567,', 'Bottom=506']]
61 [['car: 100%', 'Left=81,', 'Top=231,', 'Right=567,', 'Bottom=507']]
62 [['car: 100%', 'Left=82,', 'Top=230,', 'Right=567,', 'Bottom=508']]
63 [['car: 100%', 'Left=82,', 'Top=229,', 'Right=567,', 'Bottom=509']]
64 [['car: 100%', 'Left=83,', 'Top=229,', 'Right=566,', 'Bottom=510']]
65 [['car: 100%', 'Left=83,', 'Top=230,', 'Right=566,', 'Bottom=508']]
66 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=566,', 'Bottom=507']]
67 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=566,', 'Bottom=507']]
68 [['car: 100%', 'Left=84,', 'Top=230,', 'Right=566,', 'Bottom=508']]
69 [['car: 100%', 'Left=84,', 'Top=230,', 'Right=566,', 'Bottom=508']]
70 [['car: 100%', 'Left=84,', 'Top=230,', 'Right=566,', 'Bottom=508']]
71 [['car: 100%', 'Left=84,', 'Top=231,', 'Right=565,', 'Bottom=508']]
72 [['car: 100%', 'Left=84,', 'Top=231,', 'Right=565,', 'Bottom=508']]
73 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=565,', 'Bottom=508']]
74 [['car: 100%', 'Left=83,', 'Top=231,', 'Right=565,', 'Bottom=509']]
75 [['car: 100%', 'Left=84,', 'Top=231,', 'Right=564,', 'Bottom=509']]
76 [['car: 100%', 'Left=84,', 'Top=231,', 'Right=564,', 'Bottom=509']]
77 [['car: 100%', 'Left=85,', 'Top=230,', 'Right=565,', 'Bottom=508']]
78 [['car: 100%', 'Left=85,', 'Top=230,', 'Right=565,', 'Bottom=508']]
79 [['car: 100%', 'Left=84,', 'Top=230,', 'Right=565,', 'Bottom=509']]
80 [['car: 100%', 'Left=84,', 'Top=230,', 'Right=566,', 'Bottom=509']]
