1 []
2 []
3 [['car: 99%', 'Left=547,', 'Top=296,', 'Right=803,', 'Bottom=500'], ['truck: 92%', 'Left=144,', 'Top=224,', 'Right=474,', 'Bottom=431'], ['car: 80%', 'Left=2,', 'Top=289,', 'Right=125,', 'Bottom=491']]
4 [['car: 99%', 'Left=547,', 'Top=297,', 'Right=803,', 'Bottom=500'], ['truck: 92%', 'Left=143,', 'Top=224,', 'Right=474,', 'Bottom=431'], ['car: 78%', 'Left=2,', 'Top=289,', 'Right=125,', 'Bottom=491']]
5 [['car: 99%', 'Left=546,', 'Top=298,', 'Right=803,', 'Bottom=499'], ['truck: 91%', 'Left=143,', 'Top=224,', 'Right=474,', 'Bottom=431'], ['car: 79%', 'Left=2,', 'Top=290,', 'Right=125,', 'Bottom=491']]
6 [['car: 99%', 'Left=546,', 'Top=298,', 'Right=803,', 'Bottom=499'], ['truck: 91%', 'Left=144,', 'Top=223,', 'Right=474,', 'Bottom=431'], ['car: 78%', 'Left=2,', 'Top=291,', 'Right=125,', 'Bottom=491']]
7 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=803,', 'Bottom=499'], ['truck: 92%', 'Left=144,', 'Top=224,', 'Right=473,', 'Bottom=431'], ['car: 79%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
8 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=804,', 'Bottom=499'], ['truck: 92%', 'Left=143,', 'Top=225,', 'Right=474,', 'Bottom=431'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
9 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=804,', 'Bottom=499'], ['truck: 92%', 'Left=143,', 'Top=225,', 'Right=474,', 'Bottom=432'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
10 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=804,', 'Bottom=499'], ['truck: 91%', 'Left=143,', 'Top=224,', 'Right=475,', 'Bottom=433'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
11 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=475'], ['truck: 91%', 'Left=144,', 'Top=222,', 'Right=475,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
12 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=474'], ['truck: 91%', 'Left=145,', 'Top=222,', 'Right=475,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=492']]
13 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=474'], ['truck: 90%', 'Left=145,', 'Top=222,', 'Right=474,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=492']]
