1 []
2 []
3 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 53%', 'Left=606,', 'Top=351,', 'Right=652,', 'Bottom=379']]
4 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 54%', 'Left=606,', 'Top=351,', 'Right=652,', 'Bottom=379']]
5 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=652,', 'Bottom=379']]
6 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=653,', 'Bottom=379']]
7 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=606,', 'Top=351,', 'Right=653,', 'Bottom=379']]
8 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=351,', 'Right=653,', 'Bottom=380']]
9 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=351,', 'Right=652,', 'Bottom=380']]
10 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 79%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=352,', 'Right=652,', 'Bottom=380']]
11 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=352,', 'Right=652,', 'Bottom=380']]
12 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=352,', 'Right=652,', 'Bottom=380']]
13 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=607,', 'Top=352,', 'Right=652,', 'Bottom=380']]
