1 []
2 []
3 [['car: 88%', 'Left=694,', 'Top=384,', 'Right=795,', 'Bottom=431']]
4 [['car: 91%', 'Left=694,', 'Top=384,', 'Right=800,', 'Bottom=433']]
5 [['car: 91%', 'Left=694,', 'Top=385,', 'Right=804,', 'Bottom=434']]
6 [['car: 93%', 'Left=693,', 'Top=385,', 'Right=805,', 'Bottom=436']]
7 [['car: 95%', 'Left=691,', 'Top=385,', 'Right=808,', 'Bottom=436']]
8 [['car: 98%', 'Left=689,', 'Top=384,', 'Right=809,', 'Bottom=437']]
9 [['car: 98%', 'Left=691,', 'Top=384,', 'Right=809,', 'Bottom=436']]
10 [['car: 98%', 'Left=692,', 'Top=383,', 'Right=807,', 'Bottom=436']]
11 [['car: 98%', 'Left=694,', 'Top=382,', 'Right=807,', 'Bottom=436']]
12 [['car: 98%', 'Left=693,', 'Top=382,', 'Right=809,', 'Bottom=436']]
13 [['car: 97%', 'Left=694,', 'Top=382,', 'Right=809,', 'Bottom=437']]
14 [['car: 97%', 'Left=694,', 'Top=381,', 'Right=834,', 'Bottom=437']]
15 [['car: 95%', 'Left=691,', 'Top=380,', 'Right=843,', 'Bottom=439']]
16 [['car: 98%', 'Left=693,', 'Top=381,', 'Right=845,', 'Bottom=440']]
17 [['car: 94%', 'Left=697,', 'Top=382,', 'Right=863,', 'Bottom=441']]
18 [['car: 96%', 'Left=696,', 'Top=382,', 'Right=867,', 'Bottom=442']]
19 [['car: 97%', 'Left=696,', 'Top=380,', 'Right=872,', 'Bottom=443']]
20 [['car: 99%', 'Left=698,', 'Top=378,', 'Right=878,', 'Bottom=443']]
21 [['car: 99%', 'Left=700,', 'Top=377,', 'Right=884,', 'Bottom=443']]
22 [['car: 99%', 'Left=702,', 'Top=378,', 'Right=891,', 'Bottom=444']]
23 [['car: 100%', 'Left=704,', 'Top=379,', 'Right=897,', 'Bottom=445']]
24 [['car: 100%', 'Left=705,', 'Top=381,', 'Right=904,', 'Bottom=448']]
25 [['car: 100%', 'Left=703,', 'Top=382,', 'Right=910,', 'Bottom=450']]
26 [['car: 99%', 'Left=701,', 'Top=382,', 'Right=914,', 'Bottom=452']]
27 [['car: 100%', 'Left=706,', 'Top=380,', 'Right=931,', 'Bottom=454']]
28 [['car: 100%', 'Left=703,', 'Top=379,', 'Right=937,', 'Bottom=454']]
29 [['car: 100%', 'Left=701,', 'Top=378,', 'Right=944,', 'Bottom=455']]
30 [['car: 100%', 'Left=697,', 'Top=377,', 'Right=952,', 'Bottom=456']]
31 [['car: 100%', 'Left=696,', 'Top=376,', 'Right=959,', 'Bottom=458'], ['traffic light: 60%', 'Left=176,', 'Top=293,', 'Right=208,', 'Bottom=308']]
32 [['car: 100%', 'Left=694,', 'Top=375,', 'Right=959,', 'Bottom=461'], ['traffic light: 58%', 'Left=174,', 'Top=291,', 'Right=207,', 'Bottom=306']]
33 [['car: 100%', 'Left=694,', 'Top=375,', 'Right=959,', 'Bottom=464']]
34 [['car: 99%', 'Left=692,', 'Top=374,', 'Right=959,', 'Bottom=470'], ['traffic light: 52%', 'Left=161,', 'Top=285,', 'Right=193,', 'Bottom=300']]
35 [['car: 99%', 'Left=690,', 'Top=373,', 'Right=959,', 'Bottom=474'], ['traffic light: 53%', 'Left=159,', 'Top=283,', 'Right=192,', 'Bottom=298']]
36 [['car: 99%', 'Left=686,', 'Top=374,', 'Right=959,', 'Bottom=477']]
37 [['car: 99%', 'Left=686,', 'Top=374,', 'Right=959,', 'Bottom=477']]
38 [['car: 97%', 'Left=697,', 'Top=371,', 'Right=958,', 'Bottom=488']]
39 [['car: 97%', 'Left=692,', 'Top=373,', 'Right=957,', 'Bottom=493']]
40 [['car: 97%', 'Left=687,', 'Top=375,', 'Right=956,', 'Bottom=497']]
41 [['car: 98%', 'Left=683,', 'Top=375,', 'Right=955,', 'Bottom=499']]
42 [['car: 98%', 'Left=679,', 'Top=375,', 'Right=956,', 'Bottom=504']]
43 [['car: 98%', 'Left=660,', 'Top=377,', 'Right=949,', 'Bottom=508']]
44 [['car: 97%', 'Left=649,', 'Top=374,', 'Right=951,', 'Bottom=513']]
45 [['car: 96%', 'Left=642,', 'Top=370,', 'Right=952,', 'Bottom=516']]
46 [['car: 94%', 'Left=626,', 'Top=363,', 'Right=956,', 'Bottom=523']]
47 [['car: 94%', 'Left=615,', 'Top=362,', 'Right=958,', 'Bottom=526']]
48 [['car: 93%', 'Left=595,', 'Top=361,', 'Right=959,', 'Bottom=531']]
49 [['car: 93%', 'Left=583,', 'Top=362,', 'Right=959,', 'Bottom=533']]
50 [['car: 89%', 'Left=566,', 'Top=357,', 'Right=959,', 'Bottom=535']]
51 [['car: 87%', 'Left=550,', 'Top=353,', 'Right=959,', 'Bottom=539']]
52 [['car: 80%', 'Left=534,', 'Top=348,', 'Right=959,', 'Bottom=542'], ['traffic light: 50%', 'Left=107,', 'Top=249,', 'Right=139,', 'Bottom=268']]
53 [['car: 70%', 'Left=524,', 'Top=348,', 'Right=959,', 'Bottom=545']]
54 [['car: 75%', 'Left=499,', 'Top=346,', 'Right=959,', 'Bottom=548']]
55 [['car: 74%', 'Left=491,', 'Top=341,', 'Right=959,', 'Bottom=554']]
56 [['car: 65%', 'Left=484,', 'Top=278,', 'Right=953,', 'Bottom=586']]
57 [['car: 65%', 'Left=471,', 'Top=274,', 'Right=948,', 'Bottom=590']]
58 [['car: 60%', 'Left=453,', 'Top=272,', 'Right=947,', 'Bottom=600']]
59 [['car: 56%', 'Left=442,', 'Top=270,', 'Right=946,', 'Bottom=611']]
60 [['truck: 60%', 'Left=431,', 'Top=270,', 'Right=947,', 'Bottom=623']]
61 [['truck: 52%', 'Left=422,', 'Top=267,', 'Right=948,', 'Bottom=631']]
62 [['truck: 52%', 'Left=408,', 'Top=261,', 'Right=952,', 'Bottom=638']]
63 [['car: 65%', 'Left=394,', 'Top=255,', 'Right=959,', 'Bottom=643']]
64 [['truck: 58%', 'Left=385,', 'Top=253,', 'Right=959,', 'Bottom=642']]
65 [['truck: 58%', 'Left=381,', 'Top=254,', 'Right=959,', 'Bottom=645']]
66 [['car: 69%', 'Left=377,', 'Top=250,', 'Right=959,', 'Bottom=649']]
67 [['car: 88%', 'Left=369,', 'Top=249,', 'Right=940,', 'Bottom=646']]
68 [['car: 90%', 'Left=364,', 'Top=246,', 'Right=940,', 'Bottom=649']]
69 [['car: 90%', 'Left=364,', 'Top=248,', 'Right=938,', 'Bottom=648']]
70 [['car: 88%', 'Left=365,', 'Top=250,', 'Right=936,', 'Bottom=645']]
71 [['car: 88%', 'Left=368,', 'Top=252,', 'Right=930,', 'Bottom=643']]
72 [['car: 89%', 'Left=370,', 'Top=250,', 'Right=925,', 'Bottom=643']]
73 [['car: 89%', 'Left=374,', 'Top=250,', 'Right=920,', 'Bottom=643']]
74 [['car: 89%', 'Left=376,', 'Top=251,', 'Right=919,', 'Bottom=642']]
75 [['car: 89%', 'Left=386,', 'Top=248,', 'Right=959,', 'Bottom=648']]
76 [['car: 89%', 'Left=386,', 'Top=251,', 'Right=959,', 'Bottom=649']]
77 [['car: 90%', 'Left=388,', 'Top=249,', 'Right=959,', 'Bottom=653']]
78 [['car: 92%', 'Left=390,', 'Top=246,', 'Right=959,', 'Bottom=654']]
79 [['car: 91%', 'Left=391,', 'Top=242,', 'Right=959,', 'Bottom=657']]
80 [['car: 91%', 'Left=389,', 'Top=242,', 'Right=959,', 'Bottom=656']]
81 [['car: 90%', 'Left=377,', 'Top=251,', 'Right=921,', 'Bottom=645']]
82 [['car: 93%', 'Left=376,', 'Top=255,', 'Right=922,', 'Bottom=642']]
83 [['car: 94%', 'Left=375,', 'Top=257,', 'Right=924,', 'Bottom=640']]
84 [['car: 95%', 'Left=373,', 'Top=257,', 'Right=926,', 'Bottom=639']]
85 [['car: 95%', 'Left=373,', 'Top=256,', 'Right=925,', 'Bottom=640']]
86 [['car: 95%', 'Left=371,', 'Top=257,', 'Right=928,', 'Bottom=639']]
87 [['car: 95%', 'Left=369,', 'Top=257,', 'Right=929,', 'Bottom=639']]
88 [['car: 96%', 'Left=367,', 'Top=258,', 'Right=931,', 'Bottom=639']]
89 [['car: 95%', 'Left=367,', 'Top=258,', 'Right=930,', 'Bottom=639']]
